Departure (Local),Arrival (Local),Duration,Origin,Destination,Train type,Train number,Distance (km),Alphabetical trip,
2017-10-21 17:24,2017-10-21 17:32,0:08,Rixheim,Sierentz,TER,96133,11.2,Rixheim - Sierentz,
2017-10-22 08:57,2017-10-22 09:05,0:08,Sierentz,Rixheim,TER,96110,11.2,Rixheim - Sierentz,
2017-10-22 18:24,2017-10-22 18:50,0:26,Rixheim,Basel SBB,TER,96137,28.3,Basel SBB - Rixheim,
2017-10-22 19:31,2017-10-22 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2017-10-22 20:34,2017-10-22 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2017-11-03 19:20,2017-11-03 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2017-11-03 20:36,2017-11-03 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2017-11-05 18:42,2017-11-05 18:50,0:08,St-Louis,Basel SBB,TER,96137,6.8,Basel SBB - St-Louis,
2017-11-05 19:31,2017-11-05 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2017-11-05 20:34,2017-11-05 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2017-11-24 19:20,2017-11-24 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2017-11-24 20:36,2017-11-24 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2017-11-26 19:31,2017-11-26 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2017-11-26 20:34,2017-11-26 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2017-12-01 19:20,2017-12-01 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2017-12-01 20:36,2017-12-01 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2017-12-03 19:31,2017-12-03 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2017-12-03 20:34,2017-12-03 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
